library,source,description,fog_index
body-parser,top,Node.js body parsing middleware,11.600000000000001
inflight,top,Add callbacks to requests in flight to avoid async duplication,8.0
mime-types,top,The ultimate javascript content-type utility.,34.0
mime-db,top,Media Type Database,27.86666666666667
ansi-regex,top,Regular expression for matching ANSI escape codes,14.228571428571428
color-name,top,A JSON with CSS color names,2.4000000000000004
qs,top,A querystring parser and serializer with nesting support,8.200000000000001
safe-buffer,top,Safer Node.js Buffer API,1.6
node-bcrypt-pbkdf,top,Port of the OpenBSD `bcrypt_pbkdf` function to pure Javascript,12.488888888888889
cliui,top,easily create complex multi-column command-line-interfaces.,26.0
array-flatten,top,Flatten a multi-dimensional array in JavaScript.,15.733333333333334
babel-loader,top,📦 Babel loader for webpack,1.6
aproba,top,A ridiculously light-weight function argument validator,22.400000000000002
string-width,top,Get the visual width of a string - the number of columns required to display it,11.333333333333336
execa,top,Process execution for humans,11.600000000000001
normalize-path,top,"Normalize file path slashes to be unix-like forward slashes. Used by chokidar, anymatch, and many others!",5.7
browserslist,top,"🦔 Share target browsers between different front-end tools, like Autoprefixer, Stylelint and babel-preset-env",11.466666666666669
ansi-escapes,top,ANSI escape codes for manipulating the terminal,14.228571428571428
wrap-ansi,top,Wordwrap a string with ANSI escape codes,2.8000000000000003
node-sshpk,top,"Parse, convert, fingerprint and use SSH keys in pure node.js",8.0
npm-run-path,top,Get your PATH prepended with locally installed binaries,13.200000000000001
node-cross-spawn,top,A cross platform solution to node's spawn and spawnSync,8.044444444444444
read-pkg-up,top,Read the closest package.json file,10.0
bn.js,top,BigNum in pure javascript,11.600000000000001
define-properties,top,Define multiple non-enumerable properties at once. Uses `Object.defineProperty` when available; falls back to standard assignment in older engines.,16.933333333333334
escape-string-regexp,top,Escape RegExp special characters,11.600000000000001
is-buffer,top,Determine if an object is a Buffer,8.514285714285714
globby,top,User-friendly glob matching,14.533333333333335
camelcase,top,Convert a dash/dot/underscore/space separated string to camelCase: foo-bar → fooBar,12.488888888888889
tweetnacl-js,top,Port of TweetNaCl cryptographic library to JavaScript,19.942857142857143
for-own,top,"Iterate over the own enumerable properties of an object, and return an object with properties that evaluate to true from the callback. Exit early by returning `false`.",14.28888888888889
invariant,top,invariant,40.400000000000006
compression,top,Node.js compression middleware,27.86666666666667
source-map-resolve,top,[DEPRECATED] Resolve the source map and/or sources for a generated file.,11.672727272727274
es-abstract,top,ECMAScript spec abstract operations.,11.600000000000001
braces,top,"Faster brace expansion for node.js. Besides being faster, braces is not subject to DoS attacks like minimatch, is more accurate, and has more complete support for Bash 4.3.",9.885714285714286
has-ansi,top,Check if a string has ANSI escape codes,3.2
assign-symbols,top,"Assign the enumerable es6 Symbol properties from an object (or objects) to the first object passed on the arguments. Can be used as a supplement to other extend, assign or merge methods as a polyfill for the Symbols part of the es6 `Object.assign` method.",13.345454545454544
caniuse-lite,top,"A smaller version of caniuse-db, with only the essentials!",8.044444444444444
es-to-primitive,top,"ECMAScript ""ToPrimitive"" algorithm. Provides ES5 and ES6/ES2015 versions.",11.600000000000001
glob-parent,top,Extract the non-magic parent path from a glob string.,8.044444444444444
to-fast-properties,top,Force V8 to use fast properties for an object,8.044444444444444
isobject,top,"Is the value an object, and not an array or null?",4.4
extend-shallow,top,Extend object A with the properties of object B. node.js/javascript util.,11.672727272727274
array-uniq,top,Create an array without duplicates,10.0
wrappy,top,Callback wrapping utility,14.533333333333335
arr-diff,top,Returns an array with only the unique values from all given arrays using strict equality for comparisons.,11.505882352941178
elliptic,top,Fast Elliptic Curve Cryptography in plain javascript,19.942857142857143
code-point-at,top,ES2015 `String#codePointAt()` ponyfill,14.533333333333335
array-unique,top,Return an array free of duplicate values. Very fast implementation.,10.0
process-nextick-args,top,"process.nextTick always accepts args, always",10.0
find-cache-dir,top,Finds the common standard cache directory,9.066666666666668
arrify,top,Convert a value to an array,2.4000000000000004
mem,top,Memoize functions - an optimization technique used to speed up consecutive function calls by caching the result of calls with identical input,16.019047619047623
parse-json,top,Parse JSON with more helpful errors,2.4000000000000004
del,top,Delete files and directories,11.600000000000001
arr-flatten,top,Recursively flatten an array or arrays. This is the fastest implementation of array flatten.,8.514285714285714
decamelize,top,Convert a camelized string into a lowercased one with a custom separator: unicornRainbow → unicorn_rainbow,17.02857142857143
pify,top,Promisify a callback-style function,11.600000000000001
find-up,top,Find a file or directory by walking up parent directories,12.0
nodejs-depd,top,Deprecate all the things,11.600000000000001
object.pick,top,"(object pick) returns a filtered copy of an object with only the specified keys, exactly like `pick` from lo-dash / underscore.",14.0
builtin-modules,top,A static list of the Node.js builtin modules from the latest Node.js version,2.6
array-union,top,"Create an array of unique values, in order, from the input arrays",4.800000000000001
has-flag,top,Check if argv has a specific flag,8.514285714285714
des.js,top,DES algorithm,20.8
binary-extensions,top,List of binary file extensions,18.0
yargs-parser,top,:muscle: the mighty option parser used by yargs,3.2
http-errors,top,Create HTTP Errors,1.2000000000000002
is-fullwidth-code-point,top,Check if the character represented by a given Unicode code point is fullwidth,11.353846153846156
for-in,top,"Iterate over the enumerable properties of an object, and return an object with properties that evaluate to true from the callback. Exit early by returning `false`.",14.430769230769233
finalhandler,top,Node.js final http responder,11.600000000000001
align-text,top,Align the text in a string. ,2.4000000000000004
pbkdf2,top,PBKDF2 with any supported hashing algorithm in Node,13.200000000000001
fill-range,top,"Fill in a range of numbers or letters, positive or negative, optionally passing an increment or multiplier to use.",18.126315789473683
node-har-validator,top,Extremely fast HTTP Archive (HAR) validator using JSON Schema,12.488888888888889
util-deprecate,top,The Node.js `util.deprecate()` function with browser support,8.514285714285714
etag,top,Create simple HTTP ETags,1.6
watchpack,top,Wrapper library for directory and file watching.,8.514285714285714
lcid,top,Mapping between standard locale identifiers and Windows locale identifiers (LCID),12.0
isexe,top,Minimal module to check if a file is executable.,12.488888888888889
cosmiconfig,top,"Find and load configuration from a package.json property, rc file, TypeScript module, and more!",11.371428571428572
caller-path,top,Get the path of the caller module,2.8000000000000003
camelcase-keys,top,Convert object keys to camel case,2.4000000000000004
pako,top,"high speed zlib port to javascript, works in browser & node.js",8.0
yallist,top,Yet Another Linked List,1.6
is-glob,top,"If you use globs, this will make your code faster. Returns `true` if the given string looks like a glob pattern or an extglob pattern. This makes it easy to create code that only uses external modules like node-glob when necessary, resulting in much faster code execution and initialization time, and a better user experience. 55+ million downloads. ",9.937931034482759
http-proxy-middleware,top,":zap: The one-liner node.js http-proxy middleware for connect, express, next.js and more",8.266666666666667
ci-info,top,Get details about the current Continuous Integration environment ,18.2
loader-runner,top,Runs (webpack) loaders,1.2000000000000002
browserify-aes,top,"aes, for browserify",14.533333333333335
serve-static,top,Serve static files,1.2000000000000002
invert-kv,top,Invert the key/value of an object. Example: {foo: 'bar'} → {bar: 'foo'},9.472727272727274
repeat-string,top,Repeat the given string n times. Fastest implementation for repeating a string (2x faster than the native method),8.044444444444444
micromatch,top,"Highly optimized wildcard and glob matching library. Faster, drop-in replacement to minimatch and multimatch. Used by square, webpack, babel core, yarn, jest, ract-native, taro, bulma, browser-sync, stylelint, nyc, ava, and many others! Follow micromatch's author: https://github.com/jonschlinkert",11.377777777777778
setprototypeof,top,Polyfill for Object.setPrototypeOf,14.533333333333335
expand-range,top,"Faster, bash-like range expansion. Expand a range of numbers or letters, uppercase or lowercase. See the benchmarks.",9.325490196078432
browserify-cipher,top,,0.0
browserify-des,top,DES for browserify,14.533333333333335
browserify-rsa,top,,0.0
browserify-sign,top,createSign and createVerify in your browser,15.733333333333334
figures,top,Unicode symbols with fallbacks for older terminals,8.514285714285714
webpack-sources,top,Source code handling classes for webpack,2.4000000000000004
buffer-xor,top,A simple module for bitwise-xor on buffers,8.514285714285714
shebang-command,top,Get the command from a shebang,2.4000000000000004
spdx-license-ids,top,a list of SPDX license identifiers,9.066666666666668
filename-regex,top,"Regular expression for matching file names, with or without extension.",16.0
is-stream,top,Check if something is a Node.js stream,2.8000000000000003
load-json-file,top,Read and parse a JSON file,2.4000000000000004
cipher-base,top,abstract base class for crypto-streams,2.0
eslint-plugin-import,top,ESLint plugin with rules that help validate proper imports.,8.044444444444444
write-file-atomic,top,Write files in an atomic fashion w/configurable ownership,18.2
createHash,top,"Node style hashes for use in the browser, with native hash functions in node",5.6000000000000005
createHmac,top,"Node style HMAC for use in the browser, with native implementation in node",8.276923076923078
parseurl,top,parse a url with memoization,10.0
normalize-url,top,Normalize a URL,14.533333333333335
statuses,top,HTTP status utility,14.533333333333335
createECDH,top,browserify version of crypto.createECDH,21.6
repeat-element,top,Create an array by repeating the given string n times.,8.0
is-path-inside,top,Check if a path is inside another path,3.2
meow,top,🐈 CLI app helper,1.2000000000000002
media-typer,top,Simple RFC 6838 media type parser and formatter,13.200000000000001
content-type,top,Create and parse HTTP Content-Type header,9.066666666666668
strip-bom,top,Strip UTF-8 byte order mark (BOM) from a string,3.6
is-binary-path,top,Check if a file path is a binary file,8.044444444444444
stream-shift,top,Returns the next buffer/object in a stream's readable queue,12.488888888888889
path-exists,top,Check if a path exists,2.0
os-homedir,top,[DEPRECATED] Node.js `os.homedir()` ponyfill,21.6
forwarded,top,Parse HTTP X-Forwarded-For header,11.600000000000001
is-builtin-module,top,Check if a string matches the name of a Node.js builtin module,2.4000000000000004
read-pkg,top,Read a package.json file,11.600000000000001
diffie-hellman,top,pure js diffie-hellman,1.2000000000000002
expand-brackets,top,Expand POSIX bracket expressions (character classes) in glob patterns.,12.488888888888889
duplexify,top,Turn a writable and readable stream into a streams2 duplex stream with support for async initialization and streams1/streams2 input,13.915789473684212
path-is-absolute,top,Node.js 0.12 path.isAbsolute() ponyfill,11.600000000000001
is-dotfile,top,Return true if the file is (or the file path has) a dotfile.,5.2
extglob,top,Extended globs. Add (almost) the expressive power of regular expressions to glob patterns.,17.50769230769231
eslint-plugin-react,top,React-specific linting rules for ESLint,10.0
EVP_BytesToKey,top,,0.0
array-find-index,top,ES2015 `Array#findIndex()` ponyfill,14.533333333333335
encodeurl,top,"Encode a URL to a percent-encoded form, excluding already-encoded sequences",20.0
brorand,top,,0.0
date-now,top,,0.0
fs-write-stream-atomic,top,"Like `fs.createWriteStream(...)`, but atomic.",11.600000000000001
kind-of,top,"Get the native JavaScript type of a value, fast. Used by superstruct, micromatch and many others!",10.700000000000001
interpret,top,A dictionary of file extensions and associated module loaders.,16.933333333333334
os-locale,top,Get the system locale,1.6
shebang-regex,top,Regular expression for matching a shebang line,14.228571428571428
content-disposition,top,Create and parse HTTP Content-Disposition header,9.066666666666668
object-assign,top,ES2015 Object.assign() ponyfill,14.533333333333335
get-caller-file,top,,0.0
abab,top,Perfectly spec-compliant atob and btoa implementations,22.400000000000002
cli-cursor,top,Toggle the CLI cursor,1.6
center-align,top,Center-align the text in a string.,9.066666666666668
postcss-calc,top,PostCSS plugin to reduce calc(),2.0
postcss-modules-scope,top,A CSS Modules transform to extract export statements from local-scope classes,4.4
