Run,Task_Index,Source,Description,Temperature,Recommended_Library
1,0,top,Node.js body parsing middleware,0.2,body-parser
1,1,top,Add callbacks to requests in flight to avoid async duplication,0.2,p-limit
1,2,top,The ultimate javascript content-type utility.,0.2,mime-types
1,3,top,Media Type Database,0.2,mime-db
1,4,top,Regular expression for matching ANSI escape codes,0.2,ansi-regex
1,5,top,A JSON with CSS color names,0.2,color-name-list
1,6,top,A querystring parser and serializer with nesting support,0.2,qs
1,7,top,Safer Node.js Buffer API,0.2,safe-buffer
1,8,top,Port of the OpenBSD `bcrypt_pbkdf` function to pure Javascript,0.2,bcryptjs
1,9,top,easily create complex multi-column command-line-interfaces.,0.2,blessed-contrib
1,10,top,Flatten a multi-dimensional array in JavaScript.,0.2,lodash
1,11,top,📦 Babel loader for webpack,0.2,babel-loader
1,12,top,A ridiculously light-weight function argument validator,0.2,joi
1,13,top,Get the visual width of a string - the number of columns required to display it,0.2,string-width
1,14,top,Process execution for humans,0.2,child_process
1,15,top,"Normalize file path slashes to be unix-like forward slashes. Used by chokidar, anymatch, and many others!",0.2,normalize-path-slashes
1,16,top,"🦔 Share target browsers between different front-end tools, like Autoprefixer, Stylelint and babel-preset-env",0.2,browserslist
1,17,top,ANSI escape codes for manipulating the terminal,0.2,chalk
1,18,top,Wordwrap a string with ANSI escape codes,0.2,ansi-regex
1,19,top,"Parse, convert, fingerprint and use SSH keys in pure node.js",0.2,sshpk
1,20,top,Get your PATH prepended with locally installed binaries,0.2,"""prepend-path"""
1,21,top,A cross platform solution to node's spawn and spawnSync,0.2,cross-spawn
1,22,top,Read the closest package.json file,0.2,"""find-package-json"""
1,23,top,BigNum in pure javascript,0.2,bignumber.js
1,24,top,Define multiple non-enumerable properties at once. Uses `Object.defineProperty` when available; falls back to standard assignment in older engines.,0.2,object-define-properties
1,25,top,Escape RegExp special characters,0.2,escape-string-regexp
1,26,top,Determine if an object is a Buffer,0.2,is-buffer
1,27,top,User-friendly glob matching,0.2,fast-glob
1,28,top,Convert a dash/dot/underscore/space separated string to camelCase: foo-bar → fooBar,0.2,lodash.camelCase
1,29,top,Port of TweetNaCl cryptographic library to JavaScript,0.2,tweetnacl-js
1,30,top,"Iterate over the own enumerable properties of an object, and return an object with properties that evaluate to true from the callback. Exit early by returning `false`.",0.2,lodash
1,31,top,invariant,0.2,invariant
1,32,top,Node.js compression middleware,0.2,compression
1,33,top,[DEPRECATED] Resolve the source map and/or sources for a generated file.,0.2,resolve-url-loader
1,34,top,ECMAScript spec abstract operations.,0.2,es-abstract
1,35,top,"Faster brace expansion for node.js. Besides being faster, braces is not subject to DoS attacks like minimatch, is more accurate, and has more complete support for Bash 4.3.",0.2,braces
1,36,top,Check if a string has ANSI escape codes,0.2,ansi-regex
1,37,top,"Assign the enumerable es6 Symbol properties from an object (or objects) to the first object passed on the arguments. Can be used as a supplement to other extend, assign or merge methods as a polyfill for the Symbols part of the es6 `Object.assign` method.",0.2,object-assign-symbols
1,38,top,"A smaller version of caniuse-db, with only the essentials!",0.2,browserslist
1,39,top,"ECMAScript ""ToPrimitive"" algorithm. Provides ES5 and ES6/ES2015 versions.",0.2,es-to-primitive
1,40,top,Extract the non-magic parent path from a glob string.,0.2,glob-parent
1,41,top,Force V8 to use fast properties for an object,0.2,v8-compile-cache
1,42,top,"Is the value an object, and not an array or null?",0.2,lodash
1,43,top,Extend object A with the properties of object B. node.js/javascript util.,0.2,lodash
1,44,top,Create an array without duplicates,0.2,lodashuniq
1,45,top,Callback wrapping utility,0.2,async-await-error-handling
1,46,top,Returns an array with only the unique values from all given arrays using strict equality for comparisons.,0.2,lodashuniq
1,47,top,Fast Elliptic Curve Cryptography in plain javascript,0.2,elliptic
1,48,top,ES2015 `String#codePointAt()` ponyfill,0.2,`code-point-at`
1,49,top,Return an array free of duplicate values. Very fast implementation.,0.2,lodashuniq
1,50,top,"process.nextTick always accepts args, always",0.2,async
1,51,top,Finds the common standard cache directory,0.2,env-paths
1,52,top,Convert a value to an array,0.2,lodash
1,53,top,Memoize functions - an optimization technique used to speed up consecutive function calls by caching the result of calls with identical input,0.2,lodash.memoize
1,54,top,Parse JSON with more helpful errors,0.2,json-parse-better-errors
1,55,top,Delete files and directories,0.2,rimraf
1,56,top,Recursively flatten an array or arrays. This is the fastest implementation of array flatten.,0.2,fast-flatten-array
1,57,top,Convert a camelized string into a lowercased one with a custom separator: unicornRainbow → unicorn_rainbow,0.2,lodash.camelCase
1,58,top,Promisify a callback-style function,0.2,util.promisify
1,59,top,Find a file or directory by walking up parent directories,0.2,find-up
1,60,top,Deprecate all the things,0.2,deprecate
1,61,top,"(object pick) returns a filtered copy of an object with only the specified keys, exactly like `pick` from lo-dash / underscore.",0.2,lodash.pick
1,62,top,A static list of the Node.js builtin modules from the latest Node.js version,0.2,builtin-modules
1,63,top,"Create an array of unique values, in order, from the input arrays",0.2,lodashuniq
1,64,top,Check if argv has a specific flag,0.2,yargs
1,65,top,DES algorithm,0.2,crypto-js
1,66,top,List of binary file extensions,0.2,mime-types
1,67,top,:muscle: the mighty option parser used by yargs,0.2,yargs
1,68,top,Create HTTP Errors,0.2,http-errors
1,69,top,Check if the character represented by a given Unicode code point is fullwidth,0.2,is-fullwidth-code-point
1,70,top,"Iterate over the enumerable properties of an object, and return an object with properties that evaluate to true from the callback. Exit early by returning `false`.",0.2,lodash
1,71,top,Node.js final http responder,0.2,http-final-responder
1,72,top,Align the text in a string. ,0.2,"""justified"""
1,73,top,PBKDF2 with any supported hashing algorithm in Node,0.2,crypto-js
1,74,top,"Fill in a range of numbers or letters, positive or negative, optionally passing an increment or multiplier to use.",0.2,lodash
1,75,top,Extremely fast HTTP Archive (HAR) validator using JSON Schema,0.2,ajv
1,76,top,The Node.js `util.deprecate()` function with browser support,0.2,deprecation
1,77,top,Create simple HTTP ETags,0.2,etag
1,78,top,Wrapper library for directory and file watching.,0.2,chokidar
1,79,top,Mapping between standard locale identifiers and Windows locale identifiers (LCID),0.2,"""windows-locale"""
1,80,top,Minimal module to check if a file is executable.,0.2,fs-extra
1,81,top,"Find and load configuration from a package.json property, rc file, TypeScript module, and more!",0.2,confit
1,82,top,Get the path of the caller module,0.2,caller-path
1,83,top,Convert object keys to camel case,0.2,camelcase-keys
1,84,top,"high speed zlib port to javascript, works in browser & node.js",0.2,pako
1,85,top,Yet Another Linked List,0.2,"""linked-list"""
