description,source
Node.js body parsing middleware,top
Add callbacks to requests in flight to avoid async duplication,top
The ultimate javascript content-type utility.,top
Media Type Database,top
Regular expression for matching ANSI escape codes,top
A JSON with CSS color names,top
A querystring parser and serializer with nesting support,top
Safer Node.js Buffer API,top
Port of the OpenBSD `bcrypt_pbkdf` function to pure Javascript,top
easily create complex multi-column command-line-interfaces.,top
Flatten a multi-dimensional array in JavaScript.,top
📦 Babel loader for webpack,top
A ridiculously light-weight function argument validator,top
Get the visual width of a string - the number of columns required to display it,top
Process execution for humans,top
"Normalize file path slashes to be unix-like forward slashes. Used by chokidar, anymatch, and many others!",top
"🦔 Share target browsers between different front-end tools, like Autoprefixer, Stylelint and babel-preset-env",top
ANSI escape codes for manipulating the terminal,top
Wordwrap a string with ANSI escape codes,top
"Parse, convert, fingerprint and use SSH keys in pure node.js",top
Get your PATH prepended with locally installed binaries,top
A cross platform solution to node's spawn and spawnSync,top
Read the closest package.json file,top
BigNum in pure javascript,top
Define multiple non-enumerable properties at once. Uses `Object.defineProperty` when available; falls back to standard assignment in older engines.,top
Escape RegExp special characters,top
Determine if an object is a Buffer,top
User-friendly glob matching,top
Convert a dash/dot/underscore/space separated string to camelCase: foo-bar → fooBar,top
Port of TweetNaCl cryptographic library to JavaScript,top
"Iterate over the own enumerable properties of an object, and return an object with properties that evaluate to true from the callback. Exit early by returning `false`.",top
invariant,top
Node.js compression middleware,top
[DEPRECATED] Resolve the source map and/or sources for a generated file.,top
ECMAScript spec abstract operations.,top
"Faster brace expansion for node.js. Besides being faster, braces is not subject to DoS attacks like minimatch, is more accurate, and has more complete support for Bash 4.3.",top
Check if a string has ANSI escape codes,top
"Assign the enumerable es6 Symbol properties from an object (or objects) to the first object passed on the arguments. Can be used as a supplement to other extend, assign or merge methods as a polyfill for the Symbols part of the es6 `Object.assign` method.",top
"A smaller version of caniuse-db, with only the essentials!",top
"ECMAScript ""ToPrimitive"" algorithm. Provides ES5 and ES6/ES2015 versions.",top
Extract the non-magic parent path from a glob string.,top
Force V8 to use fast properties for an object,top
"Is the value an object, and not an array or null?",top
Extend object A with the properties of object B. node.js/javascript util.,top
Create an array without duplicates,top
Callback wrapping utility,top
Returns an array with only the unique values from all given arrays using strict equality for comparisons.,top
Fast Elliptic Curve Cryptography in plain javascript,top
ES2015 `String#codePointAt()` ponyfill,top
Return an array free of duplicate values. Very fast implementation.,top
"process.nextTick always accepts args, always",top
Finds the common standard cache directory,top
Convert a value to an array,top
Memoize functions - an optimization technique used to speed up consecutive function calls by caching the result of calls with identical input,top
Parse JSON with more helpful errors,top
Delete files and directories,top
Recursively flatten an array or arrays. This is the fastest implementation of array flatten.,top
Convert a camelized string into a lowercased one with a custom separator: unicornRainbow → unicorn_rainbow,top
Promisify a callback-style function,top
Find a file or directory by walking up parent directories,top
Deprecate all the things,top
"(object pick) returns a filtered copy of an object with only the specified keys, exactly like `pick` from lo-dash / underscore.",top
A static list of the Node.js builtin modules from the latest Node.js version,top
"Create an array of unique values, in order, from the input arrays",top
Check if argv has a specific flag,top
DES algorithm,top
List of binary file extensions,top
:muscle: the mighty option parser used by yargs,top
Create HTTP Errors,top
Check if the character represented by a given Unicode code point is fullwidth,top
"Iterate over the enumerable properties of an object, and return an object with properties that evaluate to true from the callback. Exit early by returning `false`.",top
Node.js final http responder,top
Align the text in a string. ,top
PBKDF2 with any supported hashing algorithm in Node,top
"Fill in a range of numbers or letters, positive or negative, optionally passing an increment or multiplier to use.",top
Extremely fast HTTP Archive (HAR) validator using JSON Schema,top
The Node.js `util.deprecate()` function with browser support,top
Create simple HTTP ETags,top
Wrapper library for directory and file watching.,top
Mapping between standard locale identifiers and Windows locale identifiers (LCID),top
Minimal module to check if a file is executable.,top
"Find and load configuration from a package.json property, rc file, TypeScript module, and more!",top
Get the path of the caller module,top
Convert object keys to camel case,top
"high speed zlib port to javascript, works in browser & node.js",top
Yet Another Linked List,top
"If you use globs, this will make your code faster. Returns `true` if the given string looks like a glob pattern or an extglob pattern. This makes it easy to create code that only uses external modules like node-glob when necessary, resulting in much faster code execution and initialization time, and a better user experience. 55+ million downloads. ",top
":zap: The one-liner node.js http-proxy middleware for connect, express, next.js and more",top
Get details about the current Continuous Integration environment ,top
Runs (webpack) loaders,top
"aes, for browserify",top
Serve static files,top
Invert the key/value of an object. Example: {foo: 'bar'} → {bar: 'foo'},top
Repeat the given string n times. Fastest implementation for repeating a string (2x faster than the native method),top
"Highly optimized wildcard and glob matching library. Faster, drop-in replacement to minimatch and multimatch. Used by square, webpack, babel core, yarn, jest, ract-native, taro, bulma, browser-sync, stylelint, nyc, ava, and many others! Follow micromatch's author: https://github.com/jonschlinkert",top
